auto_keyword_count,exclamation_count,question_mark_count,capital_ratio,num_urls,has_ip_in_url,has_url_shortener,avg_url_length,body_length,has_generic_greeting,special_char_count,has_html,has_hidden_content,has_qr_code,has_form,social_authority,social_scarcity,social_liking,social_consistency,social_social_proof,has_leet_speak,separator_obfuscation,mixed_scripts,pressure_fear,pressure_urgency,pressure_opportunity,pressure_secrecy,legit_has_phone,legit_has_address,legit_has_order_number,legit_has_privacy_policy,legit_has_physical_address,subj_capital_ratio,subj_urgency_count,subj_exclamations,subj_length,label,source
3,0,0,0.08314350797266515,1.0,0,0,36.0,294.0,0,92.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.2308,0,0,4,0,spamassassin
3,5,1,0.23832335329341317,4.0,0,1,38.0,119.0,0,50.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,spamassassin
2,1,0,0.04966887417218543,2.0,0,0,43.5,32.0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,1,6,0,spamassassin
4,1,0,0.2879581151832461,0.0,0,0,0.0,34.0,0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0833,0,0,3,1,spamassassin
2,3,0,0.05893909626719057,0.0,0,0,0.0,76.0,0,25.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.12,0,0,6,1,spamassassin
2,0,0,0.07342465753424658,2.0,0,0,32.0,239.0,0,103.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2667,0,0,6,0,nazario
1,0,4,0.02638700947225981,4.0,0,0,45.25,211.0,0,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0476,0,0,8,0,spamassassin
3,0,2,0.034976152623211444,1.0,0,0,41.0,101.0,0,78.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2222,0,0,5,0,spamassassin
9,0,0,0.06458055925432757,2.0,0,0,64.0,463.0,1,143.0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0.4468,0,0,2,1,nazario
6,0,0,0.04755244755244755,0.0,0,0,0.0,106.0,0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.16,0,0,4,1,nazario
9,0,0,0.06147540983606557,0.0,0,0,0.0,165.0,0,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0,0,8,1,nazario
1,5,13,0.0640748031496063,38.0,0,0,45.473684210526315,1038.0,0,1279.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0.2195,0,0,6,0,spamassassin
1,1,0,0.040268456375838924,1.0,0,0,51.0,44.0,0,28.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2258,0,0,5,0,spamassassin
5,1,0,0.025241066364152014,0.0,0,0,0.0,600.0,0,80.0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0.129,0,0,4,1,spamassassin
1,0,0,0.056962025316455694,1.0,0,0,51.0,44.0,0,35.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,3,0,spamassassin
3,0,2,0.014056224899598393,2.0,0,0,34.5,247.0,0,84.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4118,0,0,7,0,spamassassin
2,2,0,0.0625,1.0,0,0,41.0,67.0,0,85.0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.2917,0,1,5,0,spamassassin
3,0,3,0.0629800307219662,1.0,0,0,43.0,237.0,0,87.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1842,0,0,5,0,spamassassin
3,0,0,0.03522504892367906,2.0,0,0,49.0,251.0,0,60.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0161,0,0,12,0,spamassassin
1,0,1,0.03907074973600845,0.0,0,0,0.0,161.0,0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,6,0,nazario
4,0,3,0.31822971548998946,3.0,0,0,834.0,54.0,0,169.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0185,0,0,7,1,nazario
1,0,0,0.27950910093767234,1.0,0,0,52.0,400.0,0,368.0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,1,0,0,0,0,0,0,0.0857,0,0,7,0,spamassassin
2,0,1,0.06274509803921569,2.0,0,0,73.5,19.0,0,45.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0714,0,0,8,0,spamassassin
7,0,0,0.05102040816326531,0.0,0,0,0.0,93.0,1,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1053,0,0,10,1,nazario
6,0,0,0.033877038895859475,0.0,0,0,0.0,122.0,0,47.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.1591,0,0,6,1,nazario
5,16,0,0.08946171341925702,1.0,0,1,37.0,198.0,0,89.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.1489,0,0,9,1,spamassassin
0,0,0,0.03571428571428571,1.0,0,1,37.0,15.0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2143,0,0,4,0,spamassassin
6,2,0,0.06386861313868614,3.0,0,1,40.0,140.0,0,94.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0.175,0,0,6,1,spamassassin
6,0,0,0.10476190476190476,0.0,0,0,0.0,59.0,0,30.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1714,0,0,3,1,nazario
2,0,1,0.08225108225108226,3.0,0,1,35.333333333333336,291.0,0,279.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,1,0.2857,0,0,3,0,spamassassin
5,11,0,0.18866749688667497,0.0,0,0,0.0,275.0,0,173.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.7407,0,0,3,1,spamassassin
2,0,0,0.05185185185185185,1.0,0,0,52.0,59.0,0,88.0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.0408,0,0,9,0,spamassassin
5,0,0,0.1565217391304348,0.0,0,0,0.0,35.0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0,0,3,1,nazario
2,2,1,0.0380952380952381,5.0,0,0,28.8,367.0,0,127.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0625,1,0,5,0,nazario
1,0,0,0.01090909090909091,1.0,0,1,37.0,95.0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952,0,0,5,0,spamassassin
2,0,1,0.020833333333333332,1.0,0,0,41.0,72.0,0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3103,0,0,4,0,spamassassin
1,4,0,0.12610476395774953,2.0,0,0,42.0,1067.0,0,2144.0784000000003,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0.4941,0,1,10,1,spamassassin
10,0,12,0.0669350780070458,9.0,0,0,127.33333333333333,757.0,0,398.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1176,0,0,6,1,nazario
8,1,13,0.03041521181271297,3.0,0,1,57.0,2660.3920000000016,0,850.0,0,0,0,0,4,1,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0.0758,0,0,9,0,spamassassin
5,0,0,0.06745652589336901,1.0,0,0,43.0,885.0,0,157.0,0,0,0,0,1,1,1,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0.2683,0,0,6,0,spamassassin
2,1,2,0.02610441767068273,3.0,0,0,31.0,408.0,0,240.0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1818,0,0,7,0,spamassassin
4,0,0,0.05,1.0,0,0,48.0,25.0,0,14.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,6,0,nazario
3,0,1,0.11538461538461539,3.0,0,0,47.666666666666664,86.0,0,281.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,6,0,spamassassin
2,0,0,0.05866900175131348,1.0,0,1,54.0,171.0,0,112.0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0333,0,0,4,0,spamassassin
6,1,3,0.0346124905944319,0.0,0,0,0.0,211.0,0,150.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0204,0,0,9,1,spamassassin
6,1,1,0.07338067570475576,3.0,0,1,25.0,1099.0,0,225.0,0,0,0,0,1,2,1,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0.1311,0,0,9,1,spamassassin
4,0,0,0.028833551769331587,7.0,0,0,56.857142857142854,58.0,0,125.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1,1,0,spamassassin
5,1,2,0.04026115342763874,3.0,0,0,50.666666666666664,274.0,0,225.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0.093,0,0,5,0,spamassassin
2,0,0,0.04643449419568822,0.0,0,0,0.0,129.0,0,81.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,2,0,spamassassin
2,2,5,0.03404255319148936,5.0,0,0,41.0,497.0,0,475.0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,1,0,0,0,0,0,0,0.0508,0,0,10,0,nazario
3,0,2,0.039586919104991396,1.0,0,0,43.0,187.0,0,95.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2286,0,0,4,0,spamassassin
4,0,0,0.05805515239477504,0.0,0,0,0.0,120.0,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,2,1,nazario
1,0,0,0.044444444444444446,0.0,0,0,0.0,86.0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,1,nazario
4,0,3,0.03001132502831257,2.0,0,0,41.0,240.0,0,335.0,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0.129,0,0,5,0,spamassassin
4,0,0,0.024360535931790498,1.0,0,0,41.0,125.0,0,38.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.1754,0,0,8,0,spamassassin
1,1,0,0.025925925925925925,1.0,0,0,22.0,458.0,0,136.0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.125,0,0,4,0,spamassassin
3,0,1,0.026474127557160047,2.0,0,0,41.5,282.0,0,126.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0952,0,0,3,0,spamassassin
4,0,0,0.0937066814527308,0.0,0,0,0.0,573.0,0,140.0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0.12,0,0,9,1,spamassassin
3,2,2,0.0520471894517696,3.0,0,0,34.666666666666664,228.0,0,151.0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0.0968,0,0,4,0,spamassassin
0,0,0,0.06382978723404255,0.0,0,0,0.0,36.0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538,0,0,4,0,spamassassin
4,0,0,0.0807799442896936,0.0,0,0,0.0,471.0,0,169.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1111,0,0,8,1,nazario
4,1,4,0.03231507195152739,3.0,0,0,39.666666666666664,666.0,0,348.0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.1923,0,0,5,0,spamassassin
2,4,0,0.04791929382093316,5.0,0,0,36.8,77.0,0,236.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0217,0,1,7,0,spamassassin
1,0,2,0.04374678332475553,0.0,0,0,0.0,338.0,0,76.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0909,0,0,2,0,spamassassin
0,7,4,0.0936834634492548,0.0,0,0,0.0,231.0,0,128.0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0.1458,0,0,10,1,spamassassin
6,0,0,0.031746031746031744,0.0,0,0,0.0,164.0,0,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.125,0,0,4,1,nazario
6,0,0,0.049019607843137254,1.0,0,0,47.0,22.0,0,23.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0789,0,0,6,0,spamassassin
1,1,1,0.04438081603435934,0.0,0,0,0.0,255.0,0,42.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1765,0,0,3,0,nazario
2,0,3,0.02513328255902513,1.0,0,0,41.0,223.0,0,79.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.2162,0,0,6,0,spamassassin
2,1,0,0.12258897038848139,1.0,0,0,63.0,2660.3920000000016,0,1919.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0.027,0,0,4,0,nazario
5,6,0,0.031936127744510975,6.0,1,0,25.5,44.0,0,96.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0233,0,1,9,1,spamassassin
3,0,1,0.02247191011235955,2.0,0,0,39.5,123.0,0,308.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0.1053,0,0,4,0,spamassassin
1,0,0,0.037243947858473,1.0,0,1,37.0,93.0,0,59.0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0408,0,0,10,0,spamassassin
1,0,1,0.03316469926925239,5.0,0,1,36.2,317.0,0,196.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0.1071,0,0,4,0,spamassassin
5,10,3,0.0829576194770063,11.0,0,0,57.54545454545455,77.0,0,194.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1613,0,0,13,1,spamassassin
1,0,1,0.019867549668874173,3.0,0,0,42.333333333333336,236.0,0,174.0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,0,0,0,1,0,0,0.2188,0,0,6,0,spamassassin
3,1,3,0.028187919463087248,2.0,0,0,58.5,91.0,0,143.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0.0488,0,0,6,0,spamassassin
9,0,0,0.08575286968264687,0.0,0,0,0.0,441.0,0,82.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.2143,1,0,5,1,nazario
1,0,0,0.04979253112033195,1.0,0,1,37.0,35.0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,0,spamassassin
1,1,0,0.03841229193341869,1.0,0,1,54.0,123.0,0,97.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0.1818,0,0,2,0,spamassassin
4,0,3,0.03183023872679045,3.0,0,0,65.33333333333333,90.0,0,70.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0333,0,0,5,1,nazario
7,0,0,0.07106598984771574,0.0,0,0,0.0,123.0,1,26.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0909,0,0,6,1,nazario
2,0,1,0.03135313531353135,2.0,0,0,41.5,76.0,0,105.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0571,0,0,5,0,spamassassin
3,0,0,0.08214285714285714,0.0,0,0,0.0,41.0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526,0,0,6,1,nazario
0,0,2,0.04046242774566474,0.0,0,0,0.0,35.0,0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1176,0,0,2,0,nazario
0,1,0,0.020481927710843374,0.0,0,0,0.0,146.0,0,53.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1765,0,1,3,0,spamassassin
6,0,1,0.11747516072472239,3.0,0,0,33.333333333333336,241.0,0,135.0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.1579,0,0,7,0,nazario
1,1,0,0.06338028169014084,4.0,0,0,36.25,25.0,0,48.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0769,0,0,2,0,spamassassin
2,4,2,0.05456852791878172,3.0,0,0,49.0,91.0,0,175.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0625,0,0,5,0,spamassassin
2,0,0,0.037581141100102494,2.0,0,0,34.0,462.0,0,200.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.1613,0,0,5,1,nazario
2,1,0,0.021921641791044777,2.0,0,0,60.5,343.0,0,109.0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.05,0,1,9,0,nazario
5,1,5,0.04649859943977591,1.0,0,0,41.0,606.0,0,167.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,8,0,spamassassin
0,0,0,0.06521739130434782,1.0,0,0,26.0,21.0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0,nazario
4,4,8,0.059015628644739915,2.0,0,0,33.0,460.0,0,238.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.1304,0,0,8,1,spamassassin
8,0,0,0.053465346534653464,0.0,0,0,0.0,77.0,0,18.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0625,0,0,3,1,nazario
0,0,0,0.014749262536873156,1.0,0,1,37.0,55.0,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952,0,0,5,0,spamassassin
8,0,4,0.09232429099876695,0.0,0,0,0.0,996.0,0,132.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0.1163,1,0,4,1,nazario
6,2,0,0.09682416731216112,0.0,0,0,0.0,189.0,0,120.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1176,0,0,4,1,spamassassin
2,7,0,0.1485148514851485,0.0,0,0,0.0,25.0,0,22.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,5,1,spamassassin
3,0,0,0.04433497536945813,0.0,0,0,0.0,64.0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,1,nazario
1,0,0,0.013613861386138614,2.0,0,1,29.0,112.0,0,96.0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.1746,0,0,10,0,spamassassin
2,0,0,0.06183692027887239,3.0,0,1,35.333333333333336,539.0,0,568.0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,0,0,0,1,0.1667,0,0,4,0,spamassassin
0,0,0,0.8571428571428571,0.0,0,0,0.0,7.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1887,1,0,6,1,nazario
3,0,0,0.07325301204819278,2.0,0,0,45.0,295.0,0,163.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0.9091,0,0,3,1,spamassassin
6,0,0,0.06134969325153374,0.0,0,0,0.0,177.0,1,18.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1304,0,0,4,1,nazario
