body_length_chars,body_length_words,subject_length_chars,subject_length_words,exclamation_count,question_mark_count,special_char_count,capital_ratio,num_urls,has_ip_url,has_html,has_form
2144,343,60,9,2,0,114,0.022675736961451247,2,0,0,0
3570,606,50,8,1,6,173,0.04832919083126208,1,0,0,0
138,21,5,1,0,0,12,0.08333333333333333,1,0,0,0
4287,460,46,8,4,8,238,0.05976003691739732,2,0,0,0
505,77,16,3,0,0,18,0.05363984674329502,0,0,0,0
339,55,21,5,0,0,23,0.019390581717451522,1,0,0,0
6488,996,43,4,0,4,117,0.09246785058175137,0,0,0,0
1291,189,34,4,2,0,120,0.09728506787330317,0,0,0,0
202,25,28,5,7,1,23,0.12987012987012986,0,0,0,0
406,64,4,1,0,0,10,0.046228710462287104,0,0,0,0
808,112,63,10,0,0,99,0.02522935779816514,2,0,0,0
3299,539,24,4,0,0,569,0.06257521058965103,3,0,0,0
42,7,53,6,0,0,1,0.4791666666666667,0,0,0,0
2075,295,22,3,0,0,163,0.08198284080076262,2,0,0,0
1141,177,23,4,0,0,18,0.06266094420600858,0,0,0,0
1932,293,20,3,1,4,372,0.051715309779825906,5,0,0,0
670,21,31,6,13,0,179,0.03418803418803419,10,0,0,0
530,73,51,8,0,0,24,0.054982817869415807,0,0,0,0
610,88,27,4,2,0,19,0.06739811912225706,0,0,0,0
1084,181,21,4,0,1,80,0.059674502712477394,2,0,0,0
635,94,56,8,0,0,44,0.06213872832369942,1,0,0,0
1543,213,15,3,1,0,157,0.062219371391917896,2,0,0,0
519,39,36,6,1,0,87,0.05935251798561151,6,0,0,0
200,21,86,10,1,0,68,0.0975609756097561,1,0,0,0
1941,285,13,3,0,0,152,0.08388746803069054,1,0,0,0
680,119,25,4,6,0,41,0.03541076487252125,1,0,0,0
481,84,28,4,1,0,15,0.03333333333333333,0,0,0,0
1089,174,33,7,0,0,76,0.03383793410507569,1,0,0,0
424,69,14,2,0,0,12,0.11161731207289294,0,0,0,0
4080,606,47,6,10,10,501,0.12451550387596899,0,0,1,0
2047,256,35,4,3,5,381,0.03840614498319731,6,0,0,0
1055,195,19,4,1,0,77,0.03348837209302326,3,0,0,0
631,78,35,5,0,1,111,0.026986506746626688,2,0,0,0
700,108,38,7,1,0,74,0.058186738836265225,1,0,0,0
2426,384,25,5,0,3,264,0.06973898858075041,3,0,0,0
1388,261,45,9,1,2,89,0.030683403068340307,1,0,0,0
530,88,21,3,0,0,48,0.07971014492753623,0,0,0,0
1538,224,24,4,0,0,196,0.02943058221369162,1,0,1,0
333,47,22,5,0,0,42,0.028089887640449437,0,0,1,0
1598,222,66,10,4,0,250,0.0960960960960961,2,0,0,0
223,33,24,5,2,1,4,0.32661290322580644,0,0,0,0
440,79,25,4,0,0,17,0.10085836909871244,0,0,0,0
604,114,22,3,0,2,41,0.05582137161084529,0,0,0,0
1200,189,50,8,6,3,141,0.03437250199840128,2,0,0,0
886,76,36,4,3,2,208,0.07042253521126761,5,0,1,0
1160,101,65,4,1,2,328,0.053833605220228384,2,0,0,0
970,151,47,7,0,4,79,0.03143418467583497,1,0,0,0
718,114,30,5,0,1,83,0.029372496662216287,1,0,0,0
1218,149,41,9,0,0,53,0.08492063492063492,2,0,0,0
154,6,9,2,0,2,26,0.06707317073170732,2,0,0,0
17719,2647,19,3,75,4,1568,0.09758159986470488,0,0,0,0
234,20,16,2,0,0,72,0.055776892430278883,2,0,0,0
2494,399,3,1,0,0,62,0.03162530024019215,0,0,0,0
1655,32,43,6,0,0,29,0.4114184814596822,0,0,0,0
1304,175,26,4,1,4,195,0.05785123966942149,4,0,0,0
3036,512,0,0,3,1,136,0.02601251234771156,0,0,0,0
1280,231,25,3,1,1,62,0.020673813169984685,0,0,0,0
822,125,19,3,0,1,63,0.0344418052256532,2,0,0,0
764,92,62,10,1,3,162,0.0471584038694075,2,0,0,0
222,33,16,2,0,0,6,0.0502092050209205,0,0,0,0
497,76,26,4,0,0,10,0.09732824427480916,0,0,0,0
402,62,63,11,0,0,26,0.04935622317596566,1,0,0,0
1046,26,66,1,69,16,560,0.1976639712488769,2,0,1,0
349,33,20,2,0,1,44,0.03783783783783784,2,0,0,0
486,52,39,4,0,0,34,0.060836501901140684,2,0,0,0
724,84,46,6,0,1,161,0.02204928664072633,3,0,0,0
295,44,27,4,0,0,25,0.05572755417956656,1,0,0,0
45,8,30,5,0,0,1,0.039473684210526314,0,0,0,0
804,116,51,8,7,1,185,0.0514018691588785,2,0,0,0
752,92,35,5,0,2,128,0.03426395939086294,3,0,0,0
219,23,36,5,0,0,27,0.03515625,1,0,0,0
1635,205,39,5,0,0,225,0.09671641791044776,3,0,1,0
799,115,24,4,0,0,89,0.03398058252427184,1,0,0,0
846,108,73,7,1,2,196,0.04891304347826087,3,0,0,0
1069,156,37,5,0,0,133,0.06413730803974707,2,0,0,0
1231,195,25,4,0,0,64,0.0477326968973747,0,0,0,0
93,5,63,11,0,0,21,0.03821656050955414,1,0,0,0
1308,221,24,5,0,1,145,0.024756189047261814,2,0,0,0
1013,153,71,11,0,1,47,0.11889400921658987,0,0,0,0
1437,234,35,6,0,0,62,0.021045485403937542,1,0,0,0
1864,301,50,1,0,8,88,0.037075718015665796,1,0,0,0
1241,206,29,6,0,1,123,0.04720692368214005,1,0,0,0
208,34,86,12,0,2,23,0.06440677966101695,1,0,0,0
115,15,41,3,0,0,10,0.06369426751592357,0,0,0,0
923,146,24,4,0,1,100,0.060126582278481014,2,0,0,0
1302,207,44,5,3,0,170,0.02969561989606533,0,0,0,0
1425,237,29,8,0,1,135,0.05979381443298969,2,0,0,0
122,18,4,1,0,0,12,0.015748031496062992,1,0,0,0
865,157,50,6,0,0,54,0.018558951965065504,0,0,0,0
804,137,63,11,0,0,47,0.04953917050691244,0,0,0,0
1180,189,20,3,1,0,50,0.01582014987510408,1,0,0,0
1780,203,87,12,1,1,183,0.028907922912205567,2,0,0,0
16471,2495,32,5,4,4,1729,0.06543868153174988,4,0,1,0
114,20,39,9,0,0,13,0.13636363636363635,0,0,0,0
2940,467,15,4,5,1,249,0.04939106901217862,4,0,0,0
3381,343,59,8,0,4,242,0.03719848881139204,16,0,0,0
1177,174,62,8,0,1,62,0.07822580645161291,0,0,1,0
1984,191,33,5,0,4,504,0.02973240832507433,7,0,0,0
1566,280,58,12,5,0,177,0.05292307692307692,1,0,0,0
141,25,40,6,0,0,14,0.07692307692307693,0,0,0,0
863,138,64,13,0,2,124,0.03556034482758621,2,0,0,0
1660,32,48,6,0,0,33,0.41778818022235226,0,0,0,0
700,114,21,4,0,1,133,0.04847645429362881,2,0,0,0
2435,348,33,7,2,1,315,0.0749291211016606,0,0,0,0
387,58,32,6,0,1,49,0.03571428571428571,1,0,0,0
4420,540,33,5,11,4,240,0.08756174225415357,2,0,0,0
700,36,56,9,2,2,60,0.2047556142668428,2,0,0,0
643,107,47,9,0,2,50,0.04775687409551375,1,0,0,0
2364,430,33,7,0,7,148,0.007506255212677231,2,0,0,0
161,13,30,8,1,1,82,0.057291666666666664,1,0,0,0
343,55,24,3,0,0,16,0.05434782608695652,0,0,0,0
1489,245,51,9,1,1,136,0.04931862426995458,2,0,0,0
929,155,27,6,0,4,74,0.050156739811912224,1,0,0,0
969,144,57,8,4,0,48,0.0798442064264849,0,0,0,0
8578,970,31,4,0,11,1807,0.08373983739837398,16,0,1,0
686,118,10,2,0,8,47,0.043041606886657105,0,0,0,0
1337,211,25,4,0,0,108,0.24358033749082905,2,0,0,0
147,7,62,10,0,0,37,0.06190476190476191,2,0,0,0
836,117,28,5,0,0,106,0.15838150289017341,0,0,0,0
438,65,8,2,0,1,27,0.049217002237136466,0,0,0,0
221,38,25,4,5,0,14,0.3481781376518219,1,0,0,0
251,37,11,2,0,0,5,0.034220532319391636,0,0,0,0
590,99,29,4,0,0,18,0.043548387096774194,0,0,0,0
2175,308,24,4,0,4,203,0.07136363636363637,3,0,0,0
3003,69,11,1,0,0,222,0.336318407960199,2,0,0,0
442,65,86,14,0,1,53,0.04158790170132325,1,0,0,0
4742,474,56,2,10,4,685,0.15524067514065432,3,0,0,0
795,35,16,2,0,0,178,0.14532019704433496,0,0,0,0
2021,326,242,10,2,5,352,0.10247349823321555,2,0,0,0
880,103,35,5,0,3,149,0.03384279475982533,4,0,0,0
1311,236,60,11,0,2,64,0.029154518950437316,0,0,0,0
3415,617,28,5,2,6,322,0.04384436701509872,1,0,0,0
543,86,17,2,0,1,47,0.0677361853832442,0,0,0,0
1237,209,29,3,0,0,28,0.035516969218626675,0,0,0,0
1696,174,41,7,3,2,380,0.10817031070195628,4,0,0,0
4274,407,18,2,0,4,153,0.04472396925227114,0,0,0,0
681,83,68,9,0,0,144,0.10533333333333333,1,0,0,0
1051,169,36,6,1,0,64,0.06801470588235294,1,0,0,0
2364,354,14,3,1,1,81,0.06137032366540563,0,0,0,0
921,157,9,2,0,4,58,0.031149301825993556,1,0,0,0
1466,74,28,4,2,0,1008,0.10367892976588629,0,0,0,0
1228,128,39,6,0,1,30,0.04652996845425868,0,0,0,0
1175,196,30,4,0,0,112,0.03233830845771144,1,0,0,0
3137,459,54,6,3,0,203,0.03884711779448621,2,0,0,0
786,112,44,9,0,0,67,0.05415162454873646,1,0,0,0
13164,1940,22,3,0,1,495,0.04974596193220596,8,0,0,0
709,115,34,7,0,1,45,0.041666666666666664,1,0,0,0
7653,842,48,6,38,0,245,0.012204622176058166,0,0,1,0
1898,341,34,7,0,1,84,0.03310915675116399,1,0,0,0
4106,69,84,1,1,4,149,0.3953710331663088,0,0,0,0
280,46,55,10,0,0,26,0.03571428571428571,0,0,0,0
1396,184,41,6,3,2,229,0.022253129346314324,2,0,0,0
690,89,15,2,1,2,52,0.0453257790368272,3,0,0,0
340,59,67,11,0,0,29,0.029411764705882353,0,0,0,0
427,81,8,2,0,0,18,0.020642201834862386,0,0,0,0
968,155,39,3,6,0,133,0.13293650793650794,0,0,0,0
1514,277,28,5,0,4,103,0.023979261179520414,0,0,0,0
418,78,28,5,0,0,26,0.03355704697986577,0,0,0,0
879,96,51,5,0,2,143,0.0322234156820623,2,0,0,0
332,53,33,4,2,0,34,0.09562841530054644,0,0,0,0
2,0,192,2,0,8,18,0.4153846153846154,0,0,0,0
1375,169,43,6,1,2,199,0.09936575052854123,3,0,0,0
534,18,52,6,0,0,40,0.18228279386712096,0,0,0,0
2002,321,22,4,0,2,79,0.02962962962962963,0,0,0,0
1014,118,20,3,4,0,93,0.12560386473429952,1,0,0,0
184,20,35,5,0,0,24,0.05,1,0,0,0
747,105,54,8,0,0,24,0.05236907730673317,0,0,0,0
43434,5378,37,4,6,0,2837,0.12171052631578948,1,0,0,0
890,155,32,6,0,1,89,0.0314192849404117,1,0,0,0
2096,363,44,8,0,2,170,0.0425035030359645,4,0,0,0
1314,197,35,4,1,2,183,0.034074074074074076,2,0,0,0
773,114,35,4,0,0,65,0.030902348578491966,2,0,0,0
854,141,38,5,0,2,35,0.02463605823068309,0,0,0,0
577,98,16,3,0,1,46,0.050505050505050504,1,0,0,0
666,115,29,6,0,1,43,0.031609195402298854,1,0,0,0
949,154,24,3,0,0,14,0.054414784394250515,0,0,0,0
320,50,43,6,0,0,12,0.027472527472527472,0,0,0,0
1129,173,26,4,0,0,47,0.10986159169550173,0,0,0,0
326,32,65,11,0,1,49,0.04591836734693878,2,0,0,0
2037,368,31,5,0,1,119,0.019816336394393428,0,0,0,0
174,20,33,6,0,0,21,0.0673076923076923,1,0,0,0
1379,155,33,5,0,2,304,0.03821656050955414,4,0,0,0
5402,780,59,9,0,3,212,0.03478579274990846,2,0,0,0
1299,210,8,2,1,3,90,0.09174311926605505,0,0,0,0
2514,419,39,5,0,0,60,0.07830853563038372,0,0,0,0
13831,1929,42,9,0,0,1065,0.08714141559752055,29,0,1,0
19496,2962,61,8,13,49,846,0.04228448716637693,12,0,0,0
349,43,99,1,0,8,33,0.10690423162583519,0,0,0,0
942,129,44,8,0,1,110,0.0668693009118541,2,0,0,0
382,45,21,4,0,1,93,0.039603960396039604,2,0,0,0
721,129,19,2,6,0,61,0.05668016194331984,0,0,0,0
944,133,61,9,5,1,81,0.07455268389662027,2,0,0,0
707,84,26,5,0,0,206,0.043596730245231606,1,0,0,0
931,129,20,3,0,1,113,0.03991596638655462,1,0,0,0
174,16,7,2,0,0,66,0.04945054945054945,1,0,0,0
921,104,44,5,1,1,231,0.035196687370600416,2,0,0,0
944,135,46,9,0,3,75,0.030272452068617558,2,0,0,0
527,61,60,10,1,3,84,0.08503401360544217,2,0,0,0
2046,314,17,3,2,1,141,0.037306201550387594,6,0,0,0
7017,843,22,4,0,0,335,0.028409090909090908,2,0,0,0
2549,454,34,5,4,2,102,0.04024767801857585,0,0,0,0
2752,396,29,4,0,0,66,0.04205607476635514,2,0,0,0
328,53,19,4,0,3,13,0.031609195402298854,0,0,0,0
1260,195,29,4,9,0,130,0.06511627906976744,0,0,0,0
526,100,18,5,1,0,68,0.06422018348623854,1,0,0,0
1654,227,29,4,2,4,332,0.029097387173396674,4,0,0,0
1136,174,36,5,0,0,47,0.08695652173913043,1,0,0,0
607,91,79,9,6,1,26,0.048034934497816595,0,0,0,0
4469,581,59,8,20,1,956,0.16427467432104217,2,0,0,0
818,113,33,5,3,0,36,0.06807511737089202,0,0,1,0
1651,238,36,5,2,0,95,0.03139810426540284,5,0,0,0
621,64,25,4,2,1,142,0.027820710973724884,2,0,0,0
693,72,45,7,1,3,170,0.02571041948579161,2,0,0,0
1251,184,31,4,1,0,37,0.04520654715510522,1,0,0,0
5455,855,47,8,1,4,241,0.03925131746320189,1,0,0,0
2144,288,46,5,2,0,126,0.1378366042902784,0,0,0,0
466,71,24,3,0,0,28,0.08961303462321792,0,0,0,0
2144,344,62,9,0,7,131,0.03579519710013593,2,0,0,0
1768,262,10,1,0,0,126,0.034288926363125354,1,0,0,0
2833,489,56,10,0,3,72,0.0629757785467128,1,0,0,0
633,80,19,3,0,2,95,0.055130168453292494,1,0,0,0
1126,139,66,11,0,7,156,0.030176026823134954,1,0,0,0
1838,244,58,9,0,7,326,0.028465998945703744,4,0,0,0
1167,135,27,3,1,1,177,0.13723849372384936,2,0,1,0
2153,281,34,5,1,5,273,0.07541133455210237,3,0,0,0
1407,204,38,4,1,1,204,0.04149377593360996,4,0,1,0
89,9,14,2,0,0,10,0.028846153846153848,1,0,0,0
443,33,35,5,2,0,162,0.06263048016701461,3,0,0,0
893,148,24,4,0,1,44,0.030501089324618737,0,0,0,0
93,17,50,10,0,0,6,0.10416666666666667,0,0,0,0
186,32,33,4,0,0,5,0.11363636363636363,0,0,0,0
1219,177,91,14,0,0,26,0.019832189168573607,0,0,0,0
1528,273,33,7,0,0,92,0.026888604353393086,1,0,0,0
820,80,43,7,1,3,204,0.027777777777777776,3,0,0,0
161,7,35,5,0,0,36,0.06091370558375635,2,0,0,0
1620,202,61,11,1,3,259,0.10107015457788347,3,0,0,0
346,60,72,7,0,0,29,0.06205250596658711,0,0,0,0
941,38,54,7,0,0,17,0.2971887550200803,1,0,0,0
1347,201,48,7,1,2,201,0.04083094555873926,2,0,0,0
302,25,29,6,0,1,44,0.0391566265060241,3,0,0,0
231,36,36,6,0,0,7,0.09701492537313433,0,0,0,0
3024,416,74,10,10,2,202,0.10196837689577283,5,0,1,0
1113,91,56,4,2,0,292,0.08974358974358974,2,0,0,0
990,149,18,5,0,3,125,0.035678889990089196,1,0,0,0
3764,66,47,7,0,0,67,0.4454354669464848,0,0,0,0
1665,235,59,6,0,1,317,0.01855072463768116,4,0,0,0
145,12,17,2,0,0,23,0.06134969325153374,1,0,0,0
1122,163,30,3,0,3,176,0.023417172593235037,2,0,0,0
521,55,7,1,2,2,136,0.04158790170132325,3,0,0,0
2457,453,22,3,0,6,128,0.020967741935483872,0,0,0,0
691,105,39,6,1,0,40,0.11764705882352941,1,0,0,0
1720,240,45,4,3,2,228,0.045866364665911666,0,0,1,0
675,107,42,8,0,2,101,0.0403899721448468,1,0,0,0
1,0,41,9,0,0,0,0.7674418604651163,0,0,0,0
660,122,33,5,0,2,39,0.04610951008645533,0,0,0,0
2540,400,56,7,0,0,67,0.016172506738544475,1,0,0,0
406,65,39,6,0,0,13,0.04932735426008968,0,0,0,0
1770,292,34,6,2,10,97,0.038781163434903045,1,0,0,0
1121,180,0,0,2,1,60,0.017825311942959002,0,0,1,0
1516,159,33,4,1,3,269,0.09806451612903226,3,0,0,0
500,83,48,4,0,0,13,0.04918032786885246,0,0,0,0
194,34,49,7,6,0,7,0.07377049180327869,0,0,0,0
1082,162,64,1,0,5,55,0.06277244986922406,1,0,0,0
989,156,23,4,0,0,48,0.059230009871668314,0,0,0,0
1152,198,33,7,2,3,63,0.05733558178752108,0,0,0,0
2036,307,31,5,2,2,258,0.029980657640232108,6,0,0,0
4134,448,26,6,2,3,230,0.03773131458783946,2,0,0,0
978,115,53,5,0,0,28,0.08624031007751938,0,0,0,0
999,150,65,9,0,0,64,0.07981220657276995,0,0,0,0
1005,156,0,0,3,0,116,0.06063618290258449,0,0,0,0
312,34,27,5,0,0,36,0.05,2,0,0,0
834,115,35,7,0,0,104,0.03908045977011494,1,0,1,0
537,91,121,1,0,4,43,0.051593323216995446,0,0,0,0
443,58,49,7,0,0,34,0.04665314401622718,2,0,0,0
819,119,25,5,5,1,50,0.24023668639053256,4,0,0,0
1208,171,22,3,4,3,174,0.1868399675060926,0,0,0,0
2986,538,81,16,6,3,157,0.0423728813559322,1,0,0,0
855,112,14,2,0,0,20,0.034482758620689655,0,0,0,0
648,95,6,1,1,0,53,0.04580152671755725,1,0,0,0
3373,342,31,5,1,0,200,0.05345080763582966,2,0,0,0
1118,179,41,5,0,2,30,0.0939655172413793,0,0,0,0
719,104,27,5,0,0,39,0.07362784471218206,0,0,0,0
1009,133,61,8,2,0,185,0.056022408963585436,3,0,0,0
805,124,47,8,0,0,30,0.03985932004689332,0,0,0,0
1366,125,14,2,0,1,314,0.041998551774076756,3,0,0,0
15022,2293,14,3,86,9,2582,0.17756201369954114,1,0,0,0
4562,801,32,6,0,1,317,0.02720348204570185,2,0,0,0
2532,317,33,5,0,6,528,0.02260327357755261,8,0,0,0
556,52,48,9,2,0,137,0.03305785123966942,2,0,0,0
22714,2808,37,8,75,8,1905,0.06531293952180028,280,1,0,0
38470,6511,47,8,4,10,2049,0.026403240043615973,4,0,0,0
503,92,0,0,0,2,26,0.03968253968253968,0,0,0,0
944,159,55,11,6,1,138,0.146,0,0,0,0
734,110,44,7,0,0,42,0.04621309370988447,0,0,0,0
186,20,33,6,0,0,20,0.06818181818181818,1,0,0,0
1332,206,36,6,0,2,89,0.0606281957633309,2,0,0,0
1324,145,21,5,8,0,160,0.06315007429420505,2,0,0,0
308,45,12,4,0,1,25,0.09345794392523364,0,0,0,0
344,47,11,3,0,0,78,0.033707865168539325,1,0,0,0
1137,203,36,7,0,1,50,0.01788756388415673,0,0,1,0
286,46,12,1,0,0,6,0.03678929765886288,0,0,0,0
6254,959,29,2,2,0,507,0.06317632081476766,2,0,1,0
4809,661,51,7,5,0,165,0.057189878625797164,0,0,0,0
499,53,58,9,0,1,134,0.023297491039426525,2,0,0,0
240,23,62,11,0,0,42,0.07920792079207921,2,0,0,0
105,5,64,9,0,0,23,0.041176470588235294,1,0,0,0
1353,229,48,6,0,4,89,0.046362339514978604,1,0,0,0
520,84,19,4,0,0,35,0.053703703703703705,1,0,0,0
734,32,29,4,1,0,16,0.017015706806282723,0,0,0,0
4496,812,36,6,2,2,304,0.03441429516876241,3,0,0,0
1426,222,44,6,0,1,129,0.03399048266485384,2,0,0,0
16932,1820,78,14,3,3,1448,0.08423960966433484,84,0,0,0
234,40,38,5,0,0,15,0.02197802197802198,0,0,0,0
2532,297,11,2,2,2,454,0.0660377358490566,6,0,0,0
2778,383,34,4,0,2,528,0.033771773906861,0,0,0,0
351,48,31,6,0,1,36,0.06527415143603134,1,0,0,0
383,56,38,9,0,3,77,0.04028436018957346,1,0,0,0
